account_id,customer_id,account_no,account_type,balance,open_date,branch_name,status,branch_name_clean
ACC000001,CUST00105,3519066984,Fixed Deposit,72040.46,2024-09-20,Bandra Br.,Active,Bandra Branch
ACC000002,CUST00162,9027703843,Current,317432.24,2018-12-15,borivali branch,Inactive,Borivali Branch
ACC000003,CUST00202,9883920530,Savings,65138.28,2020-01-04,Kurla Br.,Inactive,Kurla Branch
ACC000006,CUST00129,8955439376,Savings,33110.87,2023-07-24,MALAD,Inactive,Malad Branch
ACC000007,CUST00176,0426818184,Current,498071.39,2021-07-24,Borivali Br,Active,Borivali Branch
ACC000008,CUST00059,1848947697,Savings,105989.52,2025-03-21,BANDRA BR,Closed,Bandra Branch
ACC000009,CUST00167,3577907141,Current,438333.8,2021-12-03,Andheri,Active,Andheri Branch
ACC000010,CUST00170,3356588043,Savings,24593.41,2021-02-10,Bandra,Active,Bandra Branch
ACC000011,CUST00122,1651827553,Savings,347748.42,2026-04-11,Bandra,Active,Bandra Branch
ACC000012,CUST00160,9423733343,Savings,209703.46,2020-08-14,Thane Branch,Active,Thane Branch
ACC000013,CUST00030,3395211179,Fixed Deposit,99724.01,2018-09-22,powai branch,Active,Powai Branch
ACC000014,CUST00181,8075957947,Savings,20183.15,2020-03-23,MALAD,Active,Malad Branch
ACC000016,CUST00020,8678085627,Savings,452437.3,2019-09-10,GHATKOPAR,Inactive,Ghatkopar Branch
ACC000017,CUST00013,8750036915,Savings,437133.15,2021-09-29,Juhu Br.,Closed,Juhu Branch
ACC000018,CUST00030,9428434795,Recurring Deposit,445200.86,2021-10-12,BORIVALI,Active,Borivali Branch
ACC000019,CUST00113,2763655647,Current,439298.53,2020-03-13,Borivali Branch,Inactive,Borivali Branch
ACC000020,CUST00103,9293143866,Current,417936.32,2020-05-03,kurla branch,Active,Kurla Branch
ACC000021,CUST00034,2270267288,Savings,490793.8,2024-10-18,Thane Br.,Inactive,Thane Branch
ACC000022,CUST00174,5744890612,Fixed Deposit,258546.73,2019-03-07,Borivali Br,Inactive,Borivali Branch
ACC000023,CUST00029,3471754558,Fixed Deposit,23463.18,2023-05-31,powai branch,Closed,Powai Branch
ACC000024,CUST00087,4506159399,Recurring Deposit,350439.8,2024-03-13,Dadar Br.,Active,Dadar Branch
ACC000025,CUST00170,8245587716,Current,74752.9,2023-11-21,Thane Branch,Active,Thane Branch
ACC000026,CUST00165,4722569961,Fixed Deposit,424498.36,2019-05-05,Bandra Br.,Active,Bandra Branch
ACC000027,CUST00062,2535544964,Current,25650.18,2026-03-21,kurla branch,Active,Kurla Branch
ACC000028,CUST00118,7598762202,Fixed Deposit,224325.24,2024-11-10,Bandra Br.,Closed,Bandra Branch
ACC000030,CUST00164,1780068114,Fixed Deposit,281385.12,2023-12-05,JUHU,Active,Juhu Branch
ACC000031,CUST00210,2164334722,Fixed Deposit,166320.33,2023-02-24,Juhu Br.,Active,Juhu Branch
ACC000032,CUST00025,2005577848,Savings,1597.38,2022-06-15,GHATKOPAR,Closed,Ghatkopar Branch
ACC000034,CUST00157,9688457831,Savings,465143.02,2022-06-05,DADAR,Active,Dadar Branch
ACC000035,CUST00194,4564240082,Recurring Deposit,418814.39,2021-08-05,Malad Br.,Closed,Malad Branch
ACC000036,CUST00151,4780774064,Savings,481945.45,2023-09-30,Powai Br.,Inactive,Powai Branch
ACC000037,CUST00124,3085368663,Recurring Deposit,460620.58,2020-01-22,Borivali Branch,Inactive,Borivali Branch
ACC000038,CUST00169,6634163894,Current,252303.0,2021-02-02,DADAR,Inactive,Dadar Branch
ACC000039,CUST00088,8463122417,Fixed Deposit,402496.02,2023-12-04,POWAI,Closed,Powai Branch
ACC000040,CUST00141,7497350208,Recurring Deposit,368540.91,2018-11-09,Dadar,Closed,Dadar Branch
ACC000041,CUST00075,2144270312,Recurring Deposit,66769.53,2018-10-17,BORIVALI,Closed,Borivali Branch
ACC000042,CUST00030,7356475705,Fixed Deposit,240444.78,2019-05-09,KURLA,Inactive,Kurla Branch
ACC000044,CUST00074,3460136730,Savings,419771.22,2020-05-12,Powai Branch,Active,Powai Branch
ACC000045,CUST00209,7183764520,Fixed Deposit,434083.67,2025-01-01,Powai Br.,Active,Powai Branch
ACC000046,CUST00131,8814743503,Recurring Deposit,258546.73,2019-08-18,Kurla Br.,Inactive,Kurla Branch
ACC000047,CUST00202,3650249163,Current,482933.69,2018-09-29,Dadar,Inactive,Dadar Branch
ACC000048,CUST00213,0979251327,Recurring Deposit,352462.22,2019-06-12,powai branch,Closed,Powai Branch
ACC000049,CUST00050,9500528127,Savings,491734.94,2020-08-24,Powai Branch,Inactive,Powai Branch
ACC000050,CUST00011,5857306524,Fixed Deposit,132487.68,2026-04-25,ANDHERI,Inactive,Andheri Branch
ACC000051,CUST00182,0778487392,Savings,77274.84,2023-04-17,THANE,Inactive,Thane Branch
ACC000052,CUST00203,5574982182,Current,36903.96,2022-06-29,Borivali Branch,Inactive,Borivali Branch
ACC000053,CUST00041,4485708620,Fixed Deposit,202006.82,2023-12-10,JUHU,Active,Juhu Branch
ACC000054,CUST00076,5935186387,Recurring Deposit,309331.16,2025-03-08,Andheri Branch,Closed,Andheri Branch
ACC000055,CUST00089,8294565118,Recurring Deposit,307043.7,2024-04-10,Juhu Br.,Active,Juhu Branch
ACC000056,CUST00099,1022031731,Recurring Deposit,141773.08,2018-12-09,Juhu Br.,Inactive,Juhu Branch
ACC000057,CUST00012,9678994053,Recurring Deposit,96659.94,2023-10-28,Borivali Branch,Closed,Borivali Branch
ACC000058,CUST00017,1037170586,Recurring Deposit,386904.34,2025-08-29,bandra branch,Inactive,Bandra Branch
ACC000059,CUST00213,5094801413,Recurring Deposit,387715.77,2023-02-01,Borivali Branch,Inactive,Borivali Branch
ACC000060,CUST00184,1138633839,Savings,37087.39,2023-12-27,Bandra,Active,Bandra Branch
ACC000061,CUST00067,2886195761,Fixed Deposit,258546.73,2020-02-02,Bandra,Active,Bandra Branch
ACC000062,CUST00165,2868528975,Savings,378102.32,2026-05-06,BANDRA BR,Inactive,Bandra Branch
ACC000063,CUST00028,5855665939,Recurring Deposit,151024.68,2023-04-24,Malad Br.,Inactive,Malad Branch
ACC000064,CUST00211,3684577600,Fixed Deposit,78583.58,2021-02-01,POWAI,Closed,Powai Branch
ACC000065,CUST00037,9082404335,Recurring Deposit,433635.92,2018-11-08,Andheri,Inactive,Andheri Branch
ACC000066,CUST00037,4888992107,Savings,286572.94,2021-09-10,BANDRA BR,Active,Bandra Branch
ACC000067,CUST00192,2245933441,Recurring Deposit,172253.9,2023-07-10,powai branch,Active,Powai Branch
ACC000068,CUST00048,6931572791,Current,97565.94,2023-09-25,Andheri,Inactive,Andheri Branch
ACC000069,CUST00166,4096105566,Current,336006.78,2026-08-01,Thane Br.,Active,Thane Branch
ACC000070,CUST00092,1390604805,Recurring Deposit,117649.16,2023-04-06,DADAR,Inactive,Dadar Branch
ACC000071,CUST00116,9258320679,Recurring Deposit,153184.91,2023-07-25,JUHU,Inactive,Juhu Branch
ACC000073,CUST00174,2517908641,Fixed Deposit,231692.76,2022-01-22,Powai Branch,Active,Powai Branch
ACC000074,CUST00166,8622783769,Current,429427.47,2020-05-03,Ghatkopar Branch,Closed,Ghatkopar Branch
ACC000075,CUST00020,8983314659,Fixed Deposit,315997.43,2019-06-07,thane branch,Active,Thane Branch
ACC000076,CUST00142,1665535590,Fixed Deposit,236315.92,2025-03-20,Dadar,Closed,Dadar Branch
ACC000077,CUST00220,4259792703,Fixed Deposit,250811.02,2020-05-14,andheri branch,Inactive,Andheri Branch
ACC000078,CUST00176,5211039240,Fixed Deposit,70615.16,2021-08-03,thane branch,Closed,Thane Branch
ACC000079,CUST00188,1477053833,Current,20689.7,2023-04-26,GHATKOPAR,Active,Ghatkopar Branch
ACC000080,CUST00011,8487920698,Fixed Deposit,453909.18,2019-01-15,Malad Branch,Active,Malad Branch
ACC000081,CUST00167,4204394070,Recurring Deposit,484236.48,2019-03-27,ghatkopar branch,Inactive,Ghatkopar Branch
ACC000082,CUST00168,6451046368,Fixed Deposit,326841.61,2024-09-14,kurla branch,Inactive,Kurla Branch
ACC000083,CUST00104,1579812387,Current,243687.35,2023-06-09,powai branch,Inactive,Powai Branch
ACC000084,CUST00043,0038457620,Fixed Deposit,321916.76,2021-08-14,Juhu Branch,Closed,Juhu Branch
ACC000085,CUST00059,5543840460,Current,360267.7,2023-05-23,Dadar,Active,Dadar Branch
ACC000086,CUST00166,4325621689,Savings,122213.32,2026-02-03,Borivali Branch,Inactive,Borivali Branch
ACC000087,CUST00038,3639264957,Current,461262.21,2023-04-13,Thane Branch,Closed,Thane Branch
ACC000088,CUST00187,2329832482,Current,473653.31,2022-04-30,Malad Br.,Active,Malad Branch
ACC000089,CUST00057,2925188125,Fixed Deposit,71784.71,2025-10-23,THANE,Active,Thane Branch
ACC000090,CUST00186,2056647423,Fixed Deposit,298468.41,2019-07-30,Borivali Branch,Active,Borivali Branch
ACC000091,CUST00052,2209949993,Fixed Deposit,342341.73,2023-09-28,Borivali Br,Inactive,Borivali Branch
ACC000093,CUST00167,2897526772,Current,185503.54,2020-01-23,Dadar Br.,Inactive,Dadar Branch
ACC000094,CUST00090,3306046333,Recurring Deposit,453975.51,2019-03-26,kurla branch,Active,Kurla Branch
ACC000095,CUST00123,2797573660,Savings,141991.7,2023-11-03,Dadar Branch,Closed,Dadar Branch
ACC000096,CUST00191,6569998808,Fixed Deposit,261509.04,2019-08-07,DADAR,Inactive,Dadar Branch
ACC000097,CUST00093,7703886086,Current,325962.18,2023-01-22,KURLA,Inactive,Kurla Branch
ACC000098,CUST00071,0347644726,Current,377608.46,2021-03-04,malad branch,Active,Malad Branch
ACC000099,CUST00144,9082771812,Current,494259.88,2025-04-17,kurla branch,Closed,Kurla Branch
ACC000100,CUST00031,9826657027,Fixed Deposit,391663.08,2023-09-10,Powai Br.,Active,Powai Branch
ACC000101,CUST00206,3714521117,Recurring Deposit,342439.94,2024-01-23,Andheri Branch,Active,Andheri Branch
ACC000102,CUST00121,5186892686,Current,44526.27,2019-01-16,Thane Branch,Closed,Thane Branch
ACC000103,CUST00099,2592222064,Current,307175.81,2021-04-20,Thane Branch,Active,Thane Branch
ACC000104,CUST00164,7421230940,Savings,101252.77,2022-07-27,ghatkopar branch,Active,Ghatkopar Branch
ACC000105,CUST00201,7780973397,Fixed Deposit,349375.64,2022-07-12,juhu branch,Closed,Juhu Branch
ACC000106,CUST00001,6719903849,Savings,498410.16,2024-01-07,Kurla Br.,Inactive,Kurla Branch
ACC000107,CUST00052,8302205020,Recurring Deposit,351959.15,2024-05-05,POWAI,Active,Powai Branch
ACC000108,CUST00209,9945101622,Fixed Deposit,481547.04,2024-05-21,ANDHERI,Active,Andheri Branch
ACC000109,CUST00105,4999827950,Fixed Deposit,36656.79,2019-06-18,POWAI,Inactive,Powai Branch
ACC000110,CUST00209,4556168147,Current,347248.83,2019-10-25,DADAR,Inactive,Dadar Branch
ACC000111,CUST00175,1458683390,Fixed Deposit,431080.63,2019-08-07,kurla branch,Closed,Kurla Branch
ACC000112,CUST00180,9817946954,Current,206506.77,2023-02-20,ghatkopar branch,Active,Ghatkopar Branch
ACC000113,CUST00024,9952997877,Recurring Deposit,410626.81,2025-07-17,MALAD,Active,Malad Branch
ACC000114,CUST00056,2934301071,Current,91800.83,2024-12-10,Dadar Br.,Closed,Dadar Branch
ACC000115,CUST00052,3966055830,Savings,436434.88,2024-02-13,Dadar,Active,Dadar Branch
ACC000116,CUST00040,3441448850,Savings,460133.97,2019-08-21,Thane Branch,Inactive,Thane Branch
ACC000117,CUST00011,5569902355,Current,310523.4,2026-07-07,THANE,Inactive,Thane Branch
ACC000118,CUST00047,7702727857,Fixed Deposit,140493.18,2025-05-03,Andheri,Inactive,Andheri Branch
ACC000119,CUST00123,6084958803,Savings,251486.37,2023-07-31,Borivali Br,Active,Borivali Branch
ACC000120,CUST00179,5512405682,Current,344760.67,2023-07-11,Thane Branch,Active,Thane Branch
ACC000121,CUST00093,9629145046,Current,93982.64,2019-05-29,THANE,Active,Thane Branch
ACC000122,CUST00048,7357438421,Savings,209836.93,2021-11-07,KURLA,Inactive,Kurla Branch
