customer_id,name,email,phone,dob,gender,city,branch_name,annual_income,credit_score,join_date,branch_name_clean
CUST00070,Yadavi Wable,medwin@example.net,914075818141.0,1966-07-30,Female,Hospet,MALAD,152319.77,679,2025-05-26,Malad Branch
CUST00021,Nikita Narayanan,dsagar@example.org,0000000000,1984-04-04,Male,,Bandra Br.,196262.62,452,2023-04-18,Bandra Branch
CUST00109,Mekhala Khatri,barkha67@example.net,5445877175.0,1969-06-28,Female,Satara,Dadar Branch,199493.54,607,2023-09-17,Dadar Branch
CUST00100,Ojasvi Sinha,yugbumb@example.net,0000000000,1986-01-25,Female,Solapur,Bandra Br.,41561.72,669,2026-04-07,Bandra Branch
CUST00120,Radhika Majumdar,emistry@example.org,4379937124.0,1956-02-17,Female,Thoothukudi,POWAI,23381.12,626,2023-02-17,Powai Branch
CUST00097,Krish Thaman,mmahajan@example.org,2742054932.0,1997-03-30,Female,Purnia,BORIVALI,183443.42,383,2025-06-07,Borivali Branch
CUST00201,Aahana Zachariah,aryan85@example.net,7704358112.0,1992-04-11,,Amritsar,Bandra,51583.81,588,2020-04-02,Bandra Branch
CUST00005,Gunbir Sankar,pallavi67@example.net,911065133387.0,1965-03-17,Female,South Dumdum,DADAR,73358.81,769,2021-05-28,Dadar Branch
CUST00056,Girik Sankaran,pradhankalpit@example.net,919885165604.0,1996-07-11,,Nagercoil,Malad Br.,109024.56,573,2018-06-06,Malad Branch
CUST00172,Vrinda Sehgal,urvipalla@example.com,914140602933.0,1999-09-21,Female,Tiruppur,Juhu Branch,135817.91,588,2021-03-31,Juhu Branch
CUST00063,Ikshita Panchal,warinderchauhan@example.org,3292127799.0,1986-03-20,Female,Satna,ghatkopar branch,192975.38,667,2019-03-28,Ghatkopar Branch
CUST00081,Ethan Seth,saichahal@example.net,5188442258.0,1970-12-05,Male,Kollam,Bandra,148495.25,588,2019-01-11,Bandra Branch
CUST00173,Yochana Bahri,unknown@bank.com,722903494.0,2004-03-03,Male,Bhusawal,DADAR,119645.34,675,2023-01-27,Dadar Branch
CUST00152,Logan Dara,bhatiatristan@example.org,0000000000,1999-08-18,Male,Warangal,Bandra Br.,46705.96,343,2018-03-26,Bandra Branch
CUST00030,Tarak Sule,barkha13@example.com,0000000000,1971-02-24,Female,Mangalore,dadar branch,157170.53,305,2021-10-23,Dadar Branch
CUST00216,Kevin Chopra,jainyamini@example.net,2912799088.0,1963-08-31,Female,Ongole,BORIVALI,102124.72,756,2018-11-19,Borivali Branch
CUST00121,Ria Natt,tdeshpande@example.com,3752654793.0,1977-11-04,,,Borivali Br,168233.54,726,2023-01-24,Borivali Branch
CUST00016,Nilima Narain,jmerchant@example.org,916629946804.0,1975-03-12,,Chinsurah,malad branch,26277.15,490,2026-07-14,Malad Branch
CUST00180,Andrew Agrawal,unknown@bank.com,3354216894.0,1967-01-13,Female,Ranchi,Bandra Br.,198490.07,395,2021-09-27,Bandra Branch
CUST00197,Lopa Khanna,champak66@example.com,5800439735.0,1995-09-16,Female,Jammu,Borivali Br,58802.77,539,2021-09-02,Borivali Branch
CUST00027,Veda Shroff,uloyal@example.org,914737996507.0,1977-10-14,Female,Morbi,DADAR,137726.68,430,2020-04-11,Dadar Branch
CUST00116,Wridesh Ramachandran,leena21@example.net,5016315999.0,1982-08-31,Female,Ludhiana,kurla branch,37666.55,463,2021-04-26,Kurla Branch
CUST00134,Vrishti Dhar,oeshi67@example.org,1684577590.0,2005-07-12,,Berhampore,dadar branch,144859.03,383,2022-10-05,Dadar Branch
CUST00131,Bhavya Ganguly,jtandon@example.net,0000000000,1984-08-07,Male,Shahjahanpur,juhu branch,77365.75,827,2021-09-24,Juhu Branch
CUST00065,Turvi Barman,uguha@example.net,8207151820.0,1972-07-11,Male,Bahraich,Dadar,154781.8,751,2025-08-01,Dadar Branch
CUST00128,Dhriti Rama,wcomar@example.com,9249912513.0,1976-06-13,Female,South Dumdum,Malad Branch,44219.1,360,2023-01-07,Malad Branch
CUST00220,Sanya Edwin,kalayashoda@example.com,8902601279.0,1985-04-18,Male,Rajkot,Juhu Branch,111142.31,451,2021-02-21,Juhu Branch
CUST00106,Timothy Sachdev,anvi08@example.net,2687056856.0,1983-06-14,Male,Dewas,Juhu Br.,132939.82,335,2023-01-27,Juhu Branch
CUST00141,Urishilla Bora,birakshay@example.com,910068486661.0,1999-04-04,Female,Alwar,BORIVALI,157919.57,870,2018-02-02,Borivali Branch
