account_id,customer_id,account_no,account_type,balance,open_date,branch_name,status
ACC000001,CUST00105,3519066984,Fixed Deposit,72040.46,2024-09-20,Bandra Br.,ACTIVE
ACC000002,CUST00162,9027703843,current,-317432.24,2018-12-15,borivali branch,Inactive
ACC000003,CUST00202,9883920530,savings,65138.28,2020-01-04,Kurla Br.,Inactive
ACC000004,CUST00002,Qzz1465,saving,365464.21,2023-08-27,powai branch,Active
ACC000005,CUST00174,fJs3801,recurring deposit,124787.15,2024-11-05,Borivali Branch,Inactive
ACC000006,CUST00129,8955439376,SAVINGS,33110.87,2023-07-24,MALAD,Inactive
ACC000007,CUST00176,0426818184,current,498071.39,2021-07-24,Borivali Br,Active
ACC000008,CUST00059,1848947697,SAVINGS,-105989.52,2025-03-21,BANDRA BR,Closed
ACC000009,CUST00167,3577907141,CURRENT,438333.8,2021-12-03,Andheri,Active
ACC000010,CUST00170,3356588043,Savings,24593.41,2021-02-10,Bandra,ACTIVE
ACC000011,CUST00122,1651827553,saving,347748.42,2026-04-11,Bandra,ACTIVE
ACC000012,CUST00160,9423733343,SAVINGS,209703.46,2020-08-14,Thane Branch,ACTIVE
ACC000013,CUST00030,3395211179,Fixed Deposit,99724.01,2018-09-22,powai branch,ACTIVE
ACC000014,CUST00181,8075957947,SAVINGS,20183.15,2020-03-23,MALAD,active
ACC000015,CUST00001,WKi8463,savings,453486.58,2019-02-17,Borivali Branch,inactive
ACC000016,CUST00020,8678085627,savings,452437.3,2019-09-10,GHATKOPAR,Inactive
ACC000017,CUST00013,8750036915,SAVINGS,437133.15,2021-09-29,Juhu Br.,Closed
ACC000018,CUST00030,9428434795,RD,-445200.86,2021-10-12,BORIVALI,ACTIVE
ACC000019,CUST00113,2763655647,Current,439298.53,2020-03-13,Borivali Branch,Inactive
ACC000020,CUST00103,9293143866,Current,417936.32,2020-05-03,kurla branch,Active
ACC000021,CUST00034,2270267288,Savings,490793.8,2024-10-18,Thane Br.,inactive
ACC000022,CUST00174,5744890612,FD,,2019-03-07,Borivali Br,Inactive
ACC000023,CUST00029,3471754558,Fixed Deposit,23463.18,2023-05-31,powai branch,Closed
ACC000024,CUST00087,4506159399,recurring deposit,350439.8,2024-03-13,Dadar Br.,ACTIVE
ACC000025,CUST00170,8245587716,CURRENT,74752.9,2023-11-21,Thane Branch,Active
ACC000026,CUST00165,4722569961,fixed deposit,424498.36,2019-05-05,Bandra Br.,ACTIVE
ACC000027,CUST00062,2535544964,Current,25650.18,2026-03-21,kurla branch,Active
ACC000028,CUST00118,7598762202,FD,224325.24,2024-11-10,Bandra Br.,Closed
ACC000029,CUST00168,kzg3413,CURRENT,,2019-06-25,Bandra,inactive
