customer_id,name,email,phone,dob,gender,city,branch_name,annual_income,credit_score,join_date
CUST00070,Yadavi Wable,medwin@example.net,+914075818141,30-07-1966,female,Hospet,MALAD,152319.77,679,2025-05-26
CUST00021,Nikita Narayanan,dsagar@example.org,,04-04-1984,M,,Bandra Br.,196262.62,452,2023-04-18
CUST00109,Mekhala Khatri,barkha67@example.net,5445877175,28-06-1969,F,Satara,Dadar Branch,199493.54,607,2023-09-17
CUST00100,Ojasvi Sinha,yugbumb@example.net,,25-01-1986,female,Solapur,Bandra Br.,41561.72,669,2026-04-07
CUST00120,Radhika Majumdar,emistry@example.org,04379937124,17-02-1956,female,Thoothukudi,POWAI,23381.12,626,2023-02-17
CUST00097,Krish Thaman,mmahajan@example.org,02742054932,30-03-1997,female,Purnia,BORIVALI,183443.42,383,2025-06-07
CUST00201,Aahana Zachariah,aryan85@example.net,7704358112,11-04-1992,,Amritsar,Bandra,51583.81,,2020-04-02
CUST00005,Gunbir Sankar,pallavi67@example.net,+911065133387,17-03-1965,F,South Dumdum,DADAR,73358.81,769,2021-05-28
CUST00056,Girik Sankaran,pradhankalpit@example.net,+919885165604,11-07-1996,,Nagercoil,Malad Br.,109024.56,573,2018-06-06
CUST00172,Vrinda Sehgal,urvipalla@example.com,+914140602933,21-09-1999,female,Tiruppur,Juhu Branch,135817.91,,2021-03-31
CUST00063,Ikshita Panchal,warinderchauhan@example.org,03292127799,20-03-1986,female,Satna,ghatkopar branch,192975.38,667,2019-03-28
CUST00081,Ethan Seth,saichahal@example.net,05188442258,05-12-1970,Male,Kollam,Bandra,148495.25,,2019-01-11
CUST00173,Yochana Bahri,,0722903494,03-03-2004,M,Bhusawal,DADAR,119645.34,675,2023-01-27
CUST00152,Logan Dara,bhatiatristan@example.org,N/A,18-08-1999,M,Warangal,Bandra Br.,46705.96,343,2018-03-26
CUST00030,Tarak Sule,barkha13@example.com,,24-02-1971,F,Mangalore,dadar branch,157170.53,305,2021-10-23
CUST00216,Kevin Chopra,jainyamini@example.net,02912799088,31-08-1963,female,Ongole,BORIVALI,102124.72,756,2018-11-19
CUST00121,Ria Natt,tdeshpande@example.com,3752654793,04-11-1977,,,Borivali Br,168233.54,726,2023-01-24
CUST00016,Nilima Narain,jmerchant@example.org,+916629946804,12-03-1975,,Chinsurah,malad branch,26277.15,490,2026-07-14
CUST00180,Andrew Agrawal,,3354216894,13-01-1967,F,Ranchi,Bandra Br.,198490.07,395,2021-09-27
CUST00197,Lopa Khanna,champak66@example.com,5800439735,16-09-1995,F,Jammu,Borivali Br,58802.77,539,2021-09-02
CUST00027,Veda Shroff,uloyal@example.org,+914737996507,14-10-1977,F,Morbi,DADAR,137726.68,430,2020-04-11
CUST00116,Wridesh Ramachandran,leena21@example.net,5016315999,31-08-1982,female,Ludhiana,kurla branch,37666.55,463,2021-04-26
CUST00134,Vrishti Dhar,oeshi67@example.org,1684577590,12-07-2005,,Berhampore,dadar branch,144859.03,383,2022-10-05
CUST00131,Bhavya Ganguly,jtandon@example.net,N/A,07-08-1984,M,Shahjahanpur,juhu branch,77365.75,827,2021-09-24
CUST00065,Turvi Barman,uguha@example.net,08207151820,11-07-1972,Male,Bahraich,Dadar,154781.8,751,2025-08-01
CUST00128,Dhriti Rama,wcomar@example.com,09249912513,13-06-1976,F,South Dumdum,Malad Branch,44219.1,360,2023-01-07
CUST00220,Sanya Edwin,kalayashoda@example.com,08902601279,18-04-1985,M,Rajkot,Juhu Branch,-111142.31,451,2021-02-21
CUST00106,Timothy Sachdev,anvi08@example.net,2687056856,14-06-1983,Male,Dewas,Juhu Br.,132939.82,335,2023-01-27
CUST00106,Timothy Sachdev,anvi08@example.net,2687056856,14-06-1983,Male,Dewas,Juhu Br.,132939.82,335,2023-01-27
CUST00141,Urishilla Bora,birakshay@example.com,+910068486661,04-04-1999,F,Alwar,BORIVALI,157919.57,870,2018-02-02
CUST00169,Baljiwan Gera,neha29@example.net,6065307450,29-08-1978,male,Bijapur,Thane Branch,36081.67,656,2021-06-09
CUST00068,Harita Sunder,upkaardevan@example.org,+914188805929,21-04-1981,Female,Ujjain,ANDHERI,123143.62,635,2019-09-29
CUST00157,Raghav Tailor,parth70@example.org,,29-06-1959,M,Madanapalle,JUHU,64906.79,867,2020-05-22
CUST00111,Omkaar Dey,igour@example.net,+918010062312,16-04-1956,Male,Dibrugarh,BANDRA BR,90745.2,864,2024-06-04
CUST00110,Timothy Dhingra,lalomisha@example.com,+913536937854,01-12-1988,male,Jaunpur,borivali branch,40692.22,388,2019-07-13
CUST00151,Gautam Dugar,banjeet35@example.org,+913568044206,10-06-1986,F,Bareilly,THANE,90115.07,332,2024-07-12
CUST00026,Charvi Dara,palanpriya@example.net,01850671657,20-10-2003,Male,Raebareli,Andheri Branch,,851,2019-08-31
CUST00086,Mohini De,yutika81@example.com,+917147321046,18-07-1997,male,Kulti,Powai Branch,192271.32,377,2019-05-21
CUST00007,Suhani Mangal,jsur@example.org,03098050097,20-11-1989,,Howrah,bandra branch,85599.57,849,2025-04-22
CUST00019,Zaid Dara,zdeol@example.com,8895798687,01-07-1966,F,Hospet,BORIVALI,169242.82,406,2021-01-28
CUST00012,Faqid Dixit,pinglemanbir@example.com,+910450533158,28-04-1983,M,Patiala,Dadar Branch,138760.89,716,2019-06-07
CUST00101,David Tiwari,masongala@example.com,N/A,24-08-1964,F,,Bandra,176566.32,406,2025-05-26
CUST00011,,dkrishnamurthy@example.org,6400524278,09-09-2003,M,Kishanganj,DADAR,98524.94,360,2016-10-31
CUST00076,Tanvi Bansal,saksham03@example.org,04868740345,03-12-1958,,Darbhanga,GHATKOPAR,94586.88,533,2018-10-14
CUST00192,Raghav Dara,,03735160917,17-10-1986,F,Panchkula,andheri branch,192663.3,627,2016-09-27
CUST00124,Garima Sani,anneguneet@example.com,+918889937567,29-11-2001,F,Hapur,borivali branch,191986.82,570,2017-01-31
CUST00043,Ayush Batra,daksh45@example.com,,22-12-1984,male,Sambalpur,Malad Br.,60011.46,764,2025-09-14
CUST00074,Pushti Agarwal,,5396218518,10-09-1992,M,Pali,THANE,36025.12,344,2024-08-31
CUST00160,Mahika Bali,,+919593917251,12-11-1971,F,Imphal,BORIVALI,174506.69,505,2019-07-11
CUST00174,Tripti Krishnan,unnatimittal@example.net,9691085899,26-11-1974,Male,Moradabad,Powai Branch,151157.91,749,2024-11-11
CUST00084,Anvi Dass,girik82@example.net,N/A,27-04-1999,F,Bhagalpur,POWAI,185415.05,632,2026-05-27
CUST00167,Oliver Kakar,jonathanbasak@example.com,+916329451168,16-09-1982,Female,Bally,Juhu Branch,134874.43,736,2025-07-05
CUST00108,Rayaan Behl,krishna99@example.org,+913983735403,07-08-1968,female,Nangloi Jat,JUHU,86592.67,802,2020-10-17
CUST00047,Ojasvi Gill,kevinzacharia@example.com,8424745171,31-03-1965,female,Sikar,Ghatkopar Branch,161287.05,882,2026-02-24
CUST00022,Lajita Sood,pandeychanchal@example.com,08893734670,17-02-1982,male,Machilipatnam,Powai Branch,72027.79,873,2019-06-23
CUST00138,Harshil Munshi,chandani26@example.org,2189092753,30-05-1998,Male,Bulandshahr,Juhu Br.,193366.71,528,2024-03-11
CUST00183,,laksh61@example.net,9141173934,08-04-1991,F,Secunderabad,JUHU,198693.93,455,2023-08-22
